UID,SEG,translation,profanity
METALW-037712-0005,3 pizzas,3 pizzas,None
METALW-037712-0006,¿Recogida o entrega?,Pick-up or drop-off?,None
METALW-037712-0007,entrega,delivery,None
METALW-037712-0008,¿Qué te gustaría en tus pizzas?,What would you like in your pizzas?,None
METALW-037712-0009,1. Amantes de la carne 2. THe Especial 3. queso,1. Meat lovers 2. Special THe 3. cheese,None
METALW-037712-0010,"Bien, tengo tu orden lista para irme. Se entregará en 30 minutos.","Well, I have your order ready to go. It will be delivered in 30 minutes.",None
METALW-037713-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037713-0001,Estoy buscando una pizza,I'm looking for a pizza,None
METALW-037713-0002,"Bien, puedes ser más específico en eso, por favor.","Well, you can be more specific about that, please.",None
METALW-037713-0003,Me siento aventurero ¿Puedes hacer recomendaciones sobre tres pizzas?,Can you make recommendations on three pizzas?,None
METALW-037713-0004,¿Quieres que te pida una pizza?,You want me to order you a pizza?,None
METALW-037713-0005,¿Qué tal tres?,How about three?,None
METALW-037713-0006,"Sugiero una pizza de 3 quesos, hawaiana y una pizza depesto","I suggest a pizza of 3 cheeses, Hawaiian and a pizza of the past",None
METALW-037713-0007,Esos suenan bien,Those sound good.,None
METALW-037713-0008,"Bien, 3 sabores de pizza que vienen después de 15 minutos.","Well, 3 pizza flavors coming after 15 minutes.",None
METALW-037713-0009,gracias por las recomendaciones,thank you for the recommendations,None
METALW-037713-0010,¡bienvenido! ¿Algo más?,welcome! Anything else?,None
METALW-037713-0011,"No, gracias",No thanks,None
METALW-037713-0012,tener un gran día!,have a great day!,None
METALW-037713-0013,usted también gracias de nuevo!,you too thank you again!,None
METALW-037714-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037714-0001,Necesito pedir una pizza,I need to order a pizza,None
METALW-037714-0002,Bien. ¿Qué sabor?,Not bad. What flavor?,None
METALW-037714-0003,salchicha de champiñones queso extra,mushroom sausage extra cheese,None
METALW-037714-0004,¿Cuántos?,How many?,None
METALW-037714-0005,Una pizza,A pizza,None
METALW-037714-0006,Bien,Not bad,None
METALW-037714-0007,¿Cuánto tiempo?,How long?,None
METALW-037714-0008,¿Algo más? #0 minutos.,Anything else? #0 minutes.,None
METALW-037714-0009,"No, gracias",No thanks,None
METALW-037714-0010,30 minutos,30 minutes,None
METALW-037715-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037715-0001,Estoy pensando en una pizza,I'm thinking of a pizza,None
METALW-037715-0002,¿Y qué piensas de una pizza?,And what do you think of a pizza?,None
METALW-037715-0003,Me pregunto si tienes tomates orgánicos secos al sol,I wonder if you have dry organic tomatoes in the sun,None
METALW-037715-0004,"No, siento que esa cobertura no esté disponible.","No, I'm sorry that coverage isn't available.",None
METALW-037715-0005,¿Qué ingredientes orgánicos ofreces?,What organic ingredients do you offer?,None
METALW-037715-0006,Me temo que ninguno de nuestros ingredientes está certificado orgánico.,I'm afraid none of our ingredients are certified organic.,None
METALW-037715-0007,¿Qué hay de la corteza sin gluten?,What about gluten-free bark?,None
METALW-037715-0008,"Sí, tenemos corteza sin gluten, pero hay un cargo adicional por eso.","Yes, we have gluten-free bark, but there's an extra charge for that.",None
METALW-037715-0009,"De acuerdo, puedo vivir con eso. Gracias por la información","Okay, I can live with that. Thank you for the information",None
METALW-037715-0010,¿Te gustaría hacer un pedido?,Would you like to place an order?,None
METALW-037715-0011,"No, gracias",No thanks,None
METALW-037716-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037716-0001,Quiero una pizza grande con tocino de jamón y piña,I want a big pizza with ham and pineapple bacon,None
METALW-037716-0002,No tengo tocino disponible,I don't have bacon available,None
METALW-037716-0003,ok hacerlo salami,ok do salami,None
METALW-037716-0004,No tengo salami disponible,I don't have salami available,None
METALW-037716-0005,ok peporoni pepperoni,ok peporoni pepperoni,None
METALW-037716-0006,Tengo una pizza grande con pepperoni de jamón y pizza de piña. es esto correcto,I have a big pizza with ham pepperoni and pineapple pizza. it's this right,None
METALW-037716-0007,"Sí, así es","Yes, that's right",None
METALW-037716-0008,¿Te gustaría papas fritas con que,Would you like fries with which,None
METALW-037716-0009,no sólo la pizza,not just pizza,None
METALW-037716-0010,De acuerdo. im la colocación de la orden,I agree. im placing the order,None
METALW-037716-0011,"ok, ¿cuándo estará listo?","Okay, when will it be ready?",None
METALW-037717-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037717-0001,¿Puedo pedir una pizza?,Can I order a pizza?,None
METALW-037717-0002,"Claro, ¿cuántas pizzas necesitas?","Sure, how many pizzas do you need?",None
METALW-037717-0003,Sólo una,Just one,None
METALW-037717-0004,¿Coberturas?,Coverage?,None
METALW-037717-0005,"Sí, pepinillos, zanahorias y champiñones","Yes, pickles, carrots and mushrooms",None
METALW-037717-0006,"Actualmente sin pepinillos en este momento, ¿puedo reemplazar eso con algo más para ti?","Currently no pickles right now, can I replace that with something else for you?",None
METALW-037717-0007,¿Pepinos?,Cucumbers?,None
METALW-037717-0008,"¿Una pizza grande con pepinos, zanahorias y champiñones? ¿Está bien?","A big pizza with cucumbers, carrots and mushrooms? It is ok?",None
METALW-037717-0009,"Sí, ¿cuál es el cargo?","Yes, what's the charge?",None
METALW-037717-0010,Total $22.51,Total $22.51,None
METALW-037718-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037718-0001,Me gustaría pedir un poco de pizza,I'd like to order some pizza,None
METALW-037718-0002,seguro. ¿Qué tipo de pizza te gustaría?,sure. What kind of pizza would you like?,None
METALW-037718-0003,"Me gustaría una pizza grande con aceitunas, tomates y carne de res","I'd like a big pizza with olives, tomatoes and beef",None
METALW-037718-0004,"Desafortunadamente, las aceitunas no están disponibles. ¿Quieres una cobertura diferente?","Unfortunately, olives are not available. Do you want different coverage?",None
METALW-037718-0005,"Sí, ¿puedo tomar piñas en su lugar?","Yes, can I have pineapples instead?",None
METALW-037718-0006,Sí. ¿Quieres corteza fina o lacada a mano?,Yes. Do you want fine crust or hand-lacquered bark?,None
METALW-037718-0007,Mano lanada por favor,Laned hand please,None
METALW-037718-0008,"Bien. Tengo una pizza grande con piña, tomates y carne de res. ¿Quieres que haga el pedido?","Not bad. I have a big pizza with pineapple, tomatoes and beef. You want me to place the order?",None
METALW-037718-0009,"Sí, por favor","Yes, please",None
METALW-037718-0010,Su número de pedido es 189691062.,Your order number is 189691062.,None
METALW-037718-0011,Gracias,Thank you,None
METALW-037718-0012,De nada.,You are welcome.,None
METALW-037719-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037719-0001,Quiero pedir pizza,I want to order pizza,None
METALW-037719-0002,"De acuerdo, puedo ayudar.","All right, I can help.",None
METALW-037719-0003,"Me gustaría pizza con piñas, carne de res y tomates","I'd like pizza with pineapples, beef and tomatoes",None
METALW-037719-0004,"Oh, lo siento. Se nos ha pasado la piña.","Oh, I'm sorry. We've gone over the pineapple.",None
METALW-037719-0005,¿Tienes aceitunas?,Do you have olives?,None
METALW-037719-0006,Sí.,Yes.,None
METALW-037719-0007,Quiero esos en su lugar entonces,I want those in place then,None
METALW-037719-0008,"Genial, lo he añadido a tu orden.","Great, I added it to your order.",None
METALW-037719-0009,Gracias,Thank you,None
METALW-037719-0010,"Usted es bienvenido, su pizza llegará en breve.","You are welcome, your pizza will arrive shortly.",None
METALW-037720-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037720-0001,Necesito ayuda,I need help,None
METALW-037720-0002,Estoy aquí para ayudar,I'm here to help.,None
METALW-037720-0003,Me gustaría pedir pizza,I'd like to order pizza,None
METALW-037720-0004,¿Cuántas pizzas?,How many pizzas?,None
METALW-037720-0005,Me gustaría 3 pizzas diferentes,I'd like 3 different pizzas,None
METALW-037720-0006,"Bien, ¿qué pizza son?","Well, what pizza are they?",None
METALW-037720-0007,¿Tienes alguna recomendación para mí?,Do you have any recommendations for me?,None
METALW-037720-0008,Amante de la carne es popular en estos días,Meat lover is popular these days,None
METALW-037720-0009,"Por favor dame tu top 3 best seller,","Please give me your top 3 best seller,",None
METALW-037720-0010,¡Bien! cualquier otra cosa con la que pueda ayudar?,Not bad! anything else I can help with?,None
METALW-037720-0011,"Eso sería todo, gracias","That would be it, thank you",None
METALW-037721-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037721-0001,Quiero pedir una pizza,I want to order a pizza,None
METALW-037721-0002,Tamaño corteza y coberturas ?,Bark size and toppings ?,None
METALW-037721-0003,gran pep,big pep,None
METALW-037721-0004,"Lo siento, salimos corriendo si pep","I'm sorry, we run if pep",None
METALW-037721-0005,¿qué hay de baco\n,What about baco-n,None
METALW-037721-0006,"Sí, tenemos tocino","Yes, we have bacon",None
METALW-037721-0007,tocino grande,big bacon,None
METALW-037721-0008,Crustv tipo Delgado u original ?,Crustv type Delgado or original ?,None
METALW-037721-0009,opciones para el tipo de corteza que en realidad la masa y no el tipo de corteza delgada,options for the type of bark that actually mass and not the type of thin bark,None
METALW-037721-0010,"Ok, somos simples pizza dhop","Okay, we're just dhop pizza",None
METALW-037722-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037722-0001,Necesito pedir tres pizzas,I need to order three pizzas,None
METALW-037722-0002,ok hagámoslo,ok let's do it,None
METALW-037722-0003,Necesito tres pizzas grandes,I need three big pizzas,None
METALW-037722-0004,¿Qué ingredientes para el primero?,What ingredients for the first?,None
METALW-037722-0005,setas y salchichas,mushrooms and sausages,None
METALW-037722-0006,ok lo tengo,ok I have it,None
METALW-037722-0007,segundo con queso extra y piña,second with extra cheese and pineapple,None
METALW-037722-0008,grabado,engraving,None
METALW-037722-0009,Tercer tocino y pepperoni,Third bacon and pepperoni,None
METALW-037722-0010,ok es esto para la entrega?,ok is this for delivery?,None
METALW-037722-0011,"Sí, por favor","Yes, please",None
METALW-037723-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037723-0001,"Necesito una pizza de queso, una pizza pepperoni y una pizza de piña.","I need a cheese pizza, a pepperoni pizza and a pineapple pizza.",None
METALW-037723-0002,qué tamaños,what sizes,None
METALW-037723-0003,"Una pequeña pizza de queso, una pizza de pepperoni mediano y una pizza de piña grande.","A small cheese pizza, a medium pepperoni pizza and a large pineapple pizza.",None
METALW-037723-0004,¿de dónde quieres pedirlo desde,Where do you want to ask from,None
METALW-037723-0005,Pizza familiar en Brooklyn Lane.,Family pizza on Brooklyn Lane.,None
METALW-037723-0006,¿quieres ordenarlo asente,do you want to order it asente,None
METALW-037723-0007,Sí.,Yes.,None
METALW-037723-0008,orden de colocación,order of placement,None
METALW-037723-0009,Gracias.,Thank you.,None
METALW-037723-0010,yw,yw,None
METALW-037724-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037724-0001,ayúdame a hacer una pizza,help me make a pizza,None
METALW-037724-0002,Bien. ¿Qué te gustaría en tu pizza?,Not bad. What would you like on your pizza?,None
METALW-037724-0003,"Quiero rosas, pepperoni y piñas","I want roses, pepperoni and pineapples",None
METALW-037724-0004,"Lo siento, pero las rosas de cobertura no están disponibles.","I'm sorry, but cover roses aren't available.",None
METALW-037724-0005,¿Puedes sustituir en pimientos verdes?,Can you replace in green peppers?,None
METALW-037724-0006,seguro.,sure.,None
METALW-037724-0007,gran mi médico dice que debería comer más plantas,great my doctor says I should eat more plants,None
METALW-037724-0008,"Para confirmar, ¿quieres pimientos verdes, pepperoni y piñas como ingredientes?","To confirm, do you want green peppers, pepperoni and pineapples as ingredients?",None
METALW-037724-0009,que es correcto,which is right,None
METALW-037724-0010,¿Hay algo más que te gustaría en tu pizza?,Is there anything else you'd like on your pizza?,None
METALW-037724-0011,No,No,None
METALW-037725-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037725-0001,Quiero pedir varias pizzas,I want to order several pizzas,None
METALW-037725-0002,¿De qué tipo?,What kind?,None
METALW-037725-0003,"de dominó Un pepperoni grande, un pequeño plato profundo pepperoni, y un extra grande supremo","dominoes A large pepperoni, a small deep pepperoni dish, and an extra large supreme",None
METALW-037725-0004,"bien, ¿hay algo más?","Well, is there anything else?",None
METALW-037725-0005,¿Tienen palitos de pan?,Do you have any bread sticks?,None
METALW-037725-0006,Sí,Yes,None
METALW-037725-0007,bien añadir palitos de pan. También una coca de 2 litros,well add bread sticks. Also a 2-litre coke,None
METALW-037725-0008,¿Te gustaría incluir eso? ¿Eso es todo?,Would you like to include that? That's all?,None
METALW-037725-0009,"Sí, eso es todo.","Yes, that's all.",None
METALW-037725-0010,"bien, eso sería 55 USD.","well, that would be $55.",None
METALW-037725-0011,seguro. Pagó el dinero,sure. He paid the money.,None
METALW-037726-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037726-0001,ayúdame a pedir 3 pizzas,help me order 3 pizzas,None
METALW-037726-0002,qué tamaños,what sizes,None
METALW-037726-0003,"grande, pero necesito 3 ingredientes diferentes","big, but I need 3 different ingredients",None
METALW-037726-0004,primera pizza?,first pizza?,None
METALW-037726-0005,Sólo quiero pepperoni,I just want pepperoni,None
METALW-037726-0006,¿segundo?,second?,None
METALW-037726-0007,Anchoas,anchovies,None
METALW-037726-0008,thrid?,thrid?,None
METALW-037726-0009,sólo queso,just cheese,None
METALW-037726-0010,¿quieres que lo ordene,Do you want me to order it,None
METALW-037727-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037727-0001,Necesito pizzas.,I need pizzas.,None
METALW-037727-0002,¿Qué pizza quieres?,What pizza do you want?,None
METALW-037727-0003,"Bueno, necesito tres en realidad.","Well, I need three, actually.",None
METALW-037727-0004,¿Qué tamaño de pizzas necesitas?,What size pizzas do you need?,None
METALW-037727-0005,Los quiero a todos grandes.,I love you all big.,None
METALW-037727-0006,¿Qué tipo de corteza?,What kind of bark?,None
METALW-037727-0007,Corteza delgada.,Thin bark.,None
METALW-037727-0008,¿Y qué ingredientes te gustaría en cada,And what ingredients would you like in each,None
METALW-037727-0009,"Bien, quiero un Amantes de la Carne para uno, uno puede ser sólo queso simple, y el tercero puede ser pepperoni con queso, por favor.","Well, I want a Meat Lovers for one, one can be just simple cheese, and the third can be pepperoni with cheese, please.",None
METALW-037727-0010,"Bien, tengo tres pizzas de corteza fina un amante de la carne un queso y un pepperoni","Well, I have three thin-crust pizzas, a meat lover, a cheese and a pepperoni",None
METALW-037727-0011,"Sí, eso es todo. Gracias.","Yes, that's all. Thank you.",None
METALW-037727-0012,El total es de $26 y puedes recogerlos en 20 minutos,The total is $26 and you can pick them up in 20 minutes,None
METALW-037728-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037728-0001,Me gustaría pedir algunas pizzas para hoy.,I'd like to order some pizzas for today.,None
METALW-037728-0002,Puedo ayudarte con eso,I can help you with that.,None
METALW-037728-0003,"Primero, me gustaría pedir una pizza extra grande y fina con pepperoni, salchicha italiana y cebollas.","First, I'd like to order an extra large, thin pizza with pepperoni, Italian sausage and onions.",None
METALW-037728-0004,De acuerdo,I agree,None
METALW-037728-0005,"A continuación, me gustaría pedir una pizza de tamaño mediano con queso extra y carne de res italiana.","Next, I'd like to order a medium-sized pizza with extra cheese and Italian beef.",None
METALW-037728-0006,Lo he notado.,I've noticed.,None
METALW-037728-0007,"Por último, me gustaría pedir una pizza grande a mano con tomates, aceitunas negras, pimientos verdes y salsa de ajo.","Finally, I'd like to order a large pizza by hand with tomatoes, black olives, green peppers and garlic sauce.",None
METALW-037728-0008,Tengo tres pizzas. ¿Quieres papas fritas con eso?,I have three pizzas. You want fries with that?,None
METALW-037728-0009,"No, gracias. Esto es todo lo que quería pedir para hoy./",No thanks. This is all I wanted to ask for today./,None
METALW-037728-0010,He hecho su pedido gracias,I've placed your order thank you,None
METALW-037729-0000,Hola. ¿Cómo puedo servir?,Hello. How can I serve?,None
METALW-037729-0001,¿Tienes coberturas de sobrecarga de carne?,Do you have meat overload coverage?,None
METALW-037729-0002,Tenemos 5 ubicaciones cerca de usted que tienen pizza sobrecarga de carne en su menú.,We have 5 locations near you that have meat overload pizza on your menu.,None
METALW-037729-0003,¿Hay una cobertura de champiñones para tu pizza de gran tamaño?,Is there a mushroom topping for your large pizza?,None
METALW-037729-0004,comprobación. No hay coberturas de champiñones disponibles en este momento.,check. There are no mushroom toppings available at this time.,None
METALW-037729-0005,¿Qué tal coberturas de piña?,How about pineapple toppings?,None
METALW-037729-0006,"comprobación. Lo siento, pero eso no está disponible en este momento.","check. I'm sorry, but that's not available right now.",None
METALW-037729-0007,¿Qué tal cheeze cremoso?,How about creamy cheeze?,None
METALW-037729-0008,comprobación. Lamento que la cobertura no esté disponible en este momento.,check. I'm sorry coverage isn't available right now.,None
METALW-037729-0009,"Bien, muchas gracias","Well, thank you very much",None
METALW-037729-0010,De nada.,You are welcome.,None
METALW-037730-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037730-0001,bot,bot,None
METALW-037730-0002,¿cómo puedo ayudarle,how can I help you,None
METALW-037730-0003,Necesito pedir una pizza,I need to order a pizza,None
METALW-037730-0004,qué tipo de pizza,what kind of pizza,None
METALW-037730-0005,una pizza grande con tocino y tocino,a big pizza with bacon and bacon,None
METALW-037730-0006,"lo siento, pero no hay tocino","I'm sorry, but there's no bacon",None
METALW-037730-0007,Dónde,where,None
METALW-037730-0008,en el sotre,in the sotre,None
METALW-037730-0009,"ok, ¿qué tal pep","ok, how about pep",None
METALW-037730-0010,Veo pep es que te gustaría una pizza grande con pep pep y pep,I see pep is that you would like a big pizza with pep pep and pep,None
METALW-037730-0011,Sí súplicas,Yes pleas,None
METALW-037731-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037731-0001,¿Tienes coberturas de sobrecarga de carne?,Do you have meat overload coverage?,None
METALW-037731-0002,No tenemos esos ingredientes,We don't have those ingredients,None
METALW-037731-0003,¿Qué tal coberturas de queso?,How about cheese toppings?,None
METALW-037731-0004,No hay coberturas de queso disponibles.,No cheese toppings are available.,None
METALW-037731-0005,¿Qué tal hongos/,How about mushrooms/,None
METALW-037731-0006,Esa cobertura no está disponible.,That coverage is not available.,None
METALW-037731-0007,¿Qué tal coberturas de perritos calientes?,How about hot dog toppings?,None
METALW-037731-0008,Esa cobertura no está disponible.,That coverage is not available.,None
METALW-037731-0009,"De acuerdo, gracias","All right, thank you.",None
METALW-037731-0010,Me alegro de servir.,I'm glad to serve.,None
METALW-037731-0011,"Sí, gracias","Yes, thanks",None
METALW-037732-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037732-0001,Necesito pedir pizzas.,I need to order pizzas.,None
METALW-037732-0002,Claro que puedo ayudarte a pedir pizza.,Of course I can help you order pizza.,None
METALW-037732-0003,Quiero tres pizzas grandes diferentes.,I want three different big pizzas.,None
METALW-037732-0004,seguro. ¿Qué tipo de ingredientes te gustaría?,sure. What kind of ingredients would you like?,None
METALW-037732-0005,"Un queso sencillo y justo. Otro con pepperoni. Para el tercero, ponte champiñones y espinacas.","A simple and fair cheese. Another with pepperoni. For the third, put on mushrooms and spinach.",None
METALW-037732-0006,"De acuerdo. Para confirmar que te gustaría una pizza grande, sólo queso. Uno grande con pepperoni. ¿Y uno grande con champiñones y espinacas?","I agree. To confirm that you'd like a big pizza, just cheese. A big one with pepperoni. And a big one with mushrooms and spinach?",None
METALW-037732-0007,"Sí, así es.","Yes, that's right.",None
METALW-037732-0008,¿Entrega o recogida?,Delivery or pickup?,None
METALW-037732-0009,Lo recogeré.,I'll pick it up.,None
METALW-037732-0010,"De acuerdo. Su total será de $304.45. No se aceptan tarjetas de crédito, por favor tenga dinero exacto en efectivo.","I agree. Your total will be $304.45. Credit cards are not accepted, please have exact cash.",None
METALW-037733-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037733-0001,Necesito pedir una pizza,I need to order a pizza,None
METALW-037733-0002,¿Qué clase de pizza?,What kind of pizza?,None
METALW-037733-0003,grande,big,None
METALW-037733-0004,¿Qué sabor?,What flavor?,None
METALW-037733-0005,tocino,bacon,None
METALW-037733-0006,¿Coberturas?,Coverage?,None
METALW-037733-0007,tocino,bacon,None
METALW-037733-0008,Siento que nuestro tocino esté agotado.,I'm sorry our bacon is exhausted.,None
METALW-037733-0009,whwat sobre pop pep,whwat on pop pep,None
METALW-037733-0010,¿Qué es Pep?,What is Pep?,None
METALW-037734-0000,"Hola, ¿en qué puedo ayudarte?","Hi, how can I help you?",None
METALW-037734-0001,Hola estoy de camino al almuerzo y tengo un antojo de pizza. ¿Puedes ayudarme? Hola,Hi I'm on my way to lunch and I have a pizza craving. Can you help me? Hello,None
METALW-037734-0002,"¡Sí, puedo! ¡Perdón por el retraso! Sistema sobrecargado brevemente.","Yes, I can! Sorry I'm late! System briefly overloaded.",None
METALW-037734-0003,¿Qué pizzas disponibles tienes?,What pizzas do you have available?,None
METALW-037734-0004,¡Tenemos todo tipo de pizzas! ¿Qué quieres?,We have all kinds of pizzas! What do you want?,None
METALW-037734-0005,Quiero una pizza que tenga tres ingredientes diferentes.,I want a pizza that has three different ingredients.,None
METALW-037734-0006,¿Qué ingredientes?,What ingredients?,None
METALW-037734-0007,"Quiero pepperoni, piña y pimienta negra.","I want pepperoni, pineapple and black pepper.",None
METALW-037734-0008,¡Desafortunadamente nos hemos quedo sin piña!,Unfortunately we've gone without pineapple!,None
METALW-037734-0009,Eso es desafortunado. Entonces me lo tomaré.,That's unfortunate. Then I'll take it.,None
METALW-037734-0010,¿Te pondré ese pedido?,Shall I put that order on you?,None
METALW-037735-0000,¡Hola! ¿Cómo puedo ayudarle?,Hello! How can I help you?,None
METALW-037735-0001,Me gustaría pedir una pizza por favor,I'd like to order a pizza please,None
METALW-037735-0002,¿Qué tipo de pizza te gustaría?,What kind of pizza would you like?,None
METALW-037735-0003,"Me gustaría un pequeño con pimientos suaves, aceitunas y cebollas por favor","I'd like a little one with soft peppers, olives and onions please",None
METALW-037735-0004,Los pimientos suaves no están disponibles. ¿Quieres algo más?,Soft peppers are not available. Anything else you want?,None
METALW-037735-0005,¿Tienes tomates asados?,Do you have roast tomatoes?,None
METALW-037735-0006,No tenemos tomates asados. ¿Podría poner más salsa?,We don't have roast tomatoes. Could I have some more sauce?,None
METALW-037735-0007,Eso estará bien.,That'll be fine.,None
METALW-037735-0008,Bien. Eso costará $12. ¿Te gustaría pagar?,Not bad. That'll cost $12. Would you like to pay?,None
METALW-037735-0009,Efectivo cuando lo recojo si está bien,Effective when I pick it up if it's okay,None
METALW-037735-0010,Eso estará bien.,That'll be fine.,None
METALW-037736-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037736-0001,¿Tienen tomates secados al sol como cobertura?,Do you have sun-dried tomatoes as cover?,None
METALW-037736-0002,No lo siento,"No, I'm sorry",None
METALW-037736-0003,¿Qué tal piñas?,How about pineapples?,None
METALW-037736-0004,no,No,None
METALW-037736-0005,queso,cheese,None
METALW-037736-0006,No,No,None
METALW-037736-0007,Corteza cruzada,Cross bark,None
METALW-037736-0008,"Lo siento, no","I'm sorry, no.",None
METALW-037736-0009,Siento haberme puesto en contacto con una pizzería,I'm sorry I contacted a pizzeria.,None
METALW-037736-0010,Lo hiciste,You did it,None
METALW-037737-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-037737-0001,Quiero pedir una pizza.,I want to order a pizza.,None
METALW-037737-0002,seguro. ¿Qué te gustaría en tu pizza?,sure. What would you like on your pizza?,None
METALW-037737-0003,"Quiero pimiento, pepperoni y champiñones.","I want pepper, pepperoni and mushrooms.",None
METALW-037737-0004,Las setas no están disponibles actualmente,Mushrooms are not currently available,None
METALW-037737-0005,¿Puedo conseguir tomate en su lugar?,Can I get tomato instead?,None
METALW-037737-0006,"¿Quieres pimiento, pepperoni y tomates?","You want pepper, pepperoni and tomatoes?",None
METALW-037737-0007,Sí.,Yes.,None
METALW-037737-0008,"Bien, ¿qué tamaño te gustaría?","Well, how size would you like?",None
METALW-037737-0009,¿Puedo conseguir un medio y puede ser corteza gruesa?,Can I get a medium and can it be thick bark?,None
METALW-037737-0010,Lo tienes. El pedido estará listo para la recogida en 20 minutos,You got it. The order will be ready for pickup in 20 minutes,None
METALW-037738-0000,"Hola, ¿en qué puedo ayudarle? Hola, ¿qué puedo conseguir por ti hoy?","Hi, how can I help you? Hey, what can I get for you today?",None
METALW-037738-0001,"Hola, estoy deseando un tipo particular de pizza. ¿Tienes sardinas?","Hi, I'm looking forward to a particular type of pizza. Do you have sardines?",None
METALW-037738-0002,Desafortunadamente hoy nos quedan sardinas.,Unfortunately today we have sardines left.,None
METALW-037738-0003,"Está bien, ¿qué tal cebolla caramelizada?","All right, how about caramelized onion?",None
METALW-037738-0004,¡Tenemos cebolla caramelizada!,We have caramelized onions!,None
